City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,dom pedrito,-30.9828,-54.6731,284.08,72,100,2.79,BR,1715308511
108,olonkinbyen,70.9221,-8.7187,270.98,76,25,8.47,SJ,1715308512
109,avarua,-21.2078,-159.775,301.18,83,75,5.14,CK,1715308513
110,batalha,-9.6778,-37.1247,295.7,84,39,2.81,BR,1715308514
111,kuta,-8.7233,115.1723,302.12,83,20,6.26,ID,1715308515
112,porto velho,-8.7619,-63.9039,303.18,70,0,1.03,BR,1715308491
113,queenstown,-31.8976,26.8753,290.08,43,31,2.9,ZA,1715308518
114,iwanai,42.9744,140.5089,287.14,57,62,3.14,JP,1715308519
115,rouyn-noranda,48.2398,-79.0288,281.2,66,75,0.0,CA,1715308461
116,kaiapoi,-43.3783,172.6401,287.43,65,20,8.75,NZ,1715308522
117,urucara,-2.5364,-57.76,297.88,94,95,1.1,BR,1715308523
118,lorengau,-2.0226,147.2712,302.45,71,99,3.94,PG,1715308383
119,stung treng,13.5259,105.9683,308.53,36,57,2.5,KH,1715308377
120,nadym,65.5333,72.5167,274.8,100,100,11.06,RU,1715308529
121,chonchi,-42.6128,-73.8092,279.71,96,28,0.88,CL,1715308338
122,constantia,44.1833,28.65,283.54,82,20,5.78,RO,1715308520
123,port mathurin,-19.6833,63.4167,298.55,72,100,11.2,MU,1715308535
124,hotan,37.0997,79.9269,302.51,9,32,6.78,CN,1715308537
125,tralee,52.2704,-9.7026,282.71,88,97,2.31,IE,1715308539
126,alice springs,-23.7,133.8833,292.9,60,75,5.66,AU,1715308541
127,new norfolk,-42.7826,147.0587,288.1,81,99,1.31,AU,1715308543
128,ketchikan,55.3422,-131.6461,284.45,87,100,3.09,US,1715308522
129,tobol,52.6844,62.5794,277.36,49,7,7.97,KZ,1715308547
130,tobelo,1.7284,128.0095,301.82,78,100,1.05,ID,1715308549
131,carnarvon,-24.8667,113.6333,299.43,52,38,0.37,AU,1715308327
132,kununurra,-15.7667,128.7333,305.14,43,4,5.14,AU,1715308357
133,afaahiti,-17.75,-149.2833,301.08,77,3,3.54,PF,1715308336
134,lihue,21.9789,-159.3672,298.92,74,0,4.12,US,1715308556
135,port elizabeth,-33.918,25.5701,288.32,96,75,3.09,ZA,1715308557
136,tsiombe,-25.3,45.4833,292.2,83,0,2.02,MG,1715308357
137,teplice,50.6404,13.8245,284.22,65,88,0.87,CZ,1715308560
138,badger,64.8,-147.5333,285.36,44,75,6.17,US,1715308348
139,frontera,26.9333,-101.45,306.31,7,0,2.54,MX,1715308562
140,ormara,25.2088,64.6357,300.02,86,0,0.89,PK,1715308563
141,pangody,65.85,74.4859,274.28,98,100,11.29,RU,1715308564
142,itoman,26.1247,127.6694,298.58,54,75,4.63,JP,1715308370
143,cooper's town,26.8667,-77.5167,298.52,74,0,5.32,BS,1715308378
144,tazacorte,28.629,-17.9293,292.69,75,0,6.69,ES,1715308567
145,ust-nera,64.5667,143.2,278.4,71,100,1.71,RU,1715308340
146,arraial do cabo,-22.9661,-42.0278,296.98,89,8,2.04,BR,1715308568
147,aghstafa,41.1189,45.4539,286.43,81,100,0.66,AZ,1715308569
148,cavalaire-sur-mer,43.174,6.5272,287.69,71,0,1.79,FR,1715308570
149,puerto deseado,-47.7503,-65.8938,278.54,93,100,7.1,AR,1715308571
150,usogorsk,63.4106,48.6872,270.74,96,95,1.19,RU,1715308572
151,lazaro cardenas,17.9583,-102.2,297.16,77,78,1.6,MX,1715308573
152,tura,25.5198,90.2201,302.67,47,78,1.2,IN,1715308325
153,dashitou,43.3067,128.5114,293.12,47,100,5.47,CN,1715308575
154,watsa,3.0372,29.5355,291.87,98,100,1.14,CD,1715308576
155,el fasher,13.6279,25.3494,296.34,15,93,1.56,SD,1715308577
156,slave lake,55.2834,-114.769,289.14,41,0,4.63,CA,1715308282
157,bakanas,44.8081,76.2772,298.19,30,42,7.66,KZ,1715308579
158,leava,-14.3,-178.1667,300.8,66,100,6.97,WF,1715308580
159,vilyuysk,63.7553,121.6247,269.26,83,100,3.13,RU,1715308366
160,margaret river,-33.95,115.0667,293.92,75,71,8.5,AU,1715308337
161,keflavik,64.0049,-22.5624,280.39,76,100,5.14,IS,1715308350
162,halifax,44.6453,-63.5724,280.08,92,100,7.2,CA,1715308388
163,suva,-18.1416,178.4415,299.86,57,40,3.6,FJ,1715308368
164,kerikeri,-35.2268,173.9474,291.99,50,1,5.81,NZ,1715308375
165,tokar,18.4254,37.729,300.37,72,59,3.78,SD,1715308588
166,nishinoomote,30.7333,131.0,296.46,60,75,3.6,JP,1715308590
